Treatment,Timepoint,Group,Mean.Infect,Infect.Lower,Infect.Upper,Mean.Resist,Resist.Lower,Resist.Upper
1-clone,1,1,0.02232811,0.003473491,0.06928541,0.9465112,0.94531181,0.99426694
1-clone,3,1,0.1693437,0.05042112,0.58787,0.6996078,0.3955045,0.862896
1-clone,5,1,0.1971224,0.06105309,0.6306116,0.8273937,0.6142982,0.9351764
1-clone,7,1,0.1485026,0.0427708,0.5511099,1,1.00E+00,1
5-clone,1,1,0.0125,0.000345335,0.08171023,0.9365365,0.89949284,0.9824639
5-clone,3,1,0.1031713,0.01610185,0.19024075,0.7058578,0.5199967,0.7809104
5-clone,5,1,0.1670139,0.03035583,0.30367197,0.8881658,0.7122073,0.9008194
5-clone,7,1,0.228125,0.04577212,0.41047788,0.9043598,0.90956861,0.9858171
,,,,,,,,
,,,0.08706945,,,,,
,,,0.13665807,,,,,
,,,0.18235288,,,,,