Time,Alive,Dead,Treatment
1,12,0,1-clone
1,12,0,5-clone
2,12,0,1-clone
2,12,0,5-clone
3,8,4,1-clone
3,12,0,5-clone
4,8,4,1-clone
4,11,1,5-clone
5,8,4,1-clone
5,9,3,5-clone
6,8,4,1-clone
6,5,7,5-clone
7,7,5,1-clone
7,5,7,5-clone
8,5,7,1-clone
8,1,11,5-clone
9,3,9,1-clone
9,0,12,5-clone
10,2,10,1-clone
10,0,12,5-clone
11,2,10,1-clone
11,0,12,5-clone
12,2,10,1-clone
12,0,12,5-clone
13,2,10,1-clone
13,0,12,5-clone
14,1,11,1-clone
14,0,12,5-clone
15,1,11,1-clone
15,0,12,5-clone
16,1,11,1-clone
16,0,12,5-clone
17,2,10,1-clone
17,0,12,5-clone
18,0,12,1-clone
18,0,12,5-clone
19,0,12,1-clone
19,0,12,5-clone
20,0,12,1-clone
20,0,12,5-clone