Treatment,Replicate,Timepoint,Phage,Host
1-clone,1,1,0,
1-clone,1,3,0,
1-clone,1,5,0,
1-clone,1,7,0,
5-clone,2,1,0.00E+00,
5-clone,2,3,3.35E-09,
5-clone,2,5,0.00E+00,
5-clone,2,7,2.74E-09,
5-clone,3,1,4.08E-09,
5-clone,3,3,0.03309779,
5-clone,3,5,1.33E-09,
5-clone,3,7,5.51E-09,
1-clone,5,1,3.33E-16,
1-clone,5,3,0,
1-clone,5,5,0.1031943,
1-clone,5,7,0,
5-clone,6,1,1.46E-13,
5-clone,6,3,1.58E-14,
5-clone,6,5,2.04E-09,
5-clone,6,7,2.29E-09,
1-clone,7,1,3.33E-16,
1-clone,7,3,0.9618428,
1-clone,7,5,0,
1-clone,7,7,0,
5-clone,7,1,2.39E-09,
5-clone,7,3,5.51E-09,
5-clone,7,5,2.81E-09,
5-clone,7,7,3.62E-09,
1-clone,8,1,4.50E-09,
1-clone,8,3,0.07400591,
1-clone,8,5,0.02171586,
1-clone,8,7,4.19E-09,
1-clone,9,1,0,
1-clone,9,3,0,
1-clone,9,5,0.03565633,
1-clone,9,7,0,
5-clone,9,1,2.21E-09,
5-clone,9,3,4.58E-09,
5-clone,9,5,2.29E-09,
5-clone,9,7,0.00E+00,
1-clone,10,1,0,
1-clone,10,3,2.61E-09,
1-clone,10,5,0.00E+00,
1-clone,10,7,0,
1-clone,11,1,0.00E+00,
1-clone,11,3,0.00E+00,
1-clone,11,5,0.00E+00,
1-clone,11,7,4.34E-09,